listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,agency,image_url,url,fetched_at
3924239,二房靚裝，市區首選，交通方便！,佐敦,金寶樓,17000,407,2,1,中興地產有限公司,https://i1.28hse.com/2026/07/202607311644336748473_thumb.jpg,https://www.28hse.com/rent/apartment/property-3924239,2026-08-02T21:33:05.478720+00:00
3915849,佐敦地鐵站旁邊一房一廳。統一業主管理一流,佐敦,寶輝閣,16500,515,1,1,駿輝地產港一有限公司,https://i1.28hse.com/2026/07/202607051540377847926_thumb.jpg,https://www.28hse.com/rent/apartment/property-3915849,2026-08-02T21:33:05.478720+00:00
3923389,佐敦文苑樓 一房一廳,佐敦,文苑樓,11000,665,1,1,駿輝地產建榮有限公司,https://i1.28hse.com/2026/07/202607081531443330357_thumb.jpg,https://www.28hse.com/rent/apartment/property-3923389,2026-08-02T21:33:05.478720+00:00
3923327,開揚2房 鄰近MTR 髙鐵站 有key 即約即看,佐敦,金寶樓,16800,480,2,1,中興地產有限公司,https://i1.28hse.com/2026/07/20260729000324239510_thumb.jpg,https://www.28hse.com/rent/apartment/property-3923327,2026-08-02T21:33:05.478720+00:00
1723016,彌敦道實用洋楼498尺租16000,油麻地,僑江大廈,16000,498,1,1,家田物業代理公司,https://i1.28hse.com/2026/07/202607251153321654061_thumb.jpg,https://www.28hse.com/rent/apartment/property-1723016,2026-08-02T21:33:05.478720+00:00
3929851,𓀠大廳大房✦好好住✦開揚通風光猛多窗✦平地電梯✦秒到地鐵✦近商場✦歡迎學生✦,油麻地,寶寧大廈,15500,470,2,1,駿輝地產國際有限公司,https://i1.28hse.com/2026/07/202607130243111499224_thumb.jpg,https://www.28hse.com/rent/apartment/property-3929851,2026-08-02T21:33:05.478720+00:00
3820233,地鐵上蓋可商住兩用大房大廳,油麻地,寶寧大廈,15000,470,2,1,大興地產代理有限公司,https://i1.28hse.com/2026/05/202605071503421155848_thumb.jpg,https://www.28hse.com/rent/apartment/property-3820233,2026-08-02T21:33:05.478720+00:00
3925369,一房一廳，一梯二伙，獨立單位，電梯,油麻地,東安閣,10800,650,1,1,大同地產,https://i1.28hse.com/2026/08/202608021553432303504_thumb.jpg,https://www.28hse.com/rent/apartment/property-3925369,2026-08-02T21:33:05.478720+00:00
3923908,兩房巨廳！秒到地鐵、平地電梯、學生合租舒適首選,油麻地,寶寧大廈,15300,470,2,1,駿輝地產旺角有限公司,https://i1.28hse.com/2026/07/202607141531192036057_thumb.jpg,https://www.28hse.com/rent/apartment/property-3923908,2026-08-02T21:33:05.478720+00:00
3862481,22/7 近駿發花園 唐樓 4/F 610呎 2房 可宿舍,油麻地,唐樓,13900,610,2,1,駿輝地產投資有限公司,https://i1.28hse.com/2026/07/202607201720052420414_thumb.jpg,https://www.28hse.com/rent/apartment/property-3862481,2026-08-02T21:33:05.478720+00:00
3777505,查詢有影片油麻地站上蓋出入方便平地電梯合中醫大大件兩房筍租,油麻地,寶寧大廈,16000,470,2,1,駿輝地產有限公司,https://i1.28hse.com/2026/04/202604011552594271304_thumb.jpg,https://www.28hse.com/rent/apartment/property-3777505,2026-08-02T21:33:05.478720+00:00
3825452,油麻地A1站頂【中高層2房，商住兩用】多窗開揚,油麻地,寶寧大廈,15000,470,2,1,三月地產,https://i1.28hse.com/2026/06/202606191613518829488_thumb.jpg,https://www.28hse.com/rent/apartment/property-3825452,2026-08-02T21:33:05.478720+00:00
3877264,獨家代理 梁小姐 高層二房 裝修 油油 歡迎約睇,油麻地,文豪閣,16000,437,2,1,駿發地產有限公司,https://i1.28hse.com/2026/07/202607042256395006030_thumb.jpg,https://www.28hse.com/rent/apartment/property-3877264,2026-08-02T21:33:05.478720+00:00
3931834,【油麻地黃金地段超實用 470 呎兩房 獨立廚房、高層單邊日光、極寬敞大客廳】,油麻地,寶寧大廈,15500,470,2,1,駿輝地產旺角有限公司,https://i1.28hse.com/2026/07/202607141628244513662_thumb.jpg,https://www.28hse.com/rent/apartment/property-3931834,2026-08-02T21:33:05.478720+00:00
3925807,大兩房，唐樓4/F，冇電梯,油麻地,新填地街171號,15000,610,2,1,駿輝地產投資有限公司,https://i1.28hse.com/2026/07/202607100126026106599_thumb.jpg,https://www.28hse.com/rent/apartment/property-3925807,2026-08-02T21:33:05.478720+00:00
3955389,有電梯 保安 兩房大廳 合家庭客 旺角站對面,旺角,百寶大廈,15500,435,2,1,君皇地產有限公司,https://i1.28hse.com/2026/08/202608011744513079301_thumb.jpg,https://www.28hse.com/rent/apartment/property-3955389,2026-08-02T21:33:05.478720+00:00
